date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:12	14270/14270	---M-Z	200	added ('OK')	text/html	etag:W/%2261553d17-37be%22	https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q	G:/burger/himuhimu112002.github.io/Burger1/index3859.html	(from )
10:59:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7b904d-239b%22	https://himuhimu112002.github.io/robots.txt		(from )
10:59:13	162764/162764	---M-Z	200	added ('OK')	text/css	etag:W/%2227bcc-BZIWlzlsFSRVBPxM7BbsU0yOz/8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/css/bootstrap.min.css	G:/burger/cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/css/bootstrap.min.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:13	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-d17%22	https://himuhimu112002.github.io/Burger1/css/owl.carousel.min.css	G:/burger/himuhimu112002.github.io/Burger1/css/owl.carousel.min.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:13	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-3f5%22	https://himuhimu112002.github.io/Burger1/css/owl.theme.default.min.css	G:/burger/himuhimu112002.github.io/Burger1/css/owl.theme.default.min.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:14	7731/7731	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-1e33%22	https://himuhimu112002.github.io/Burger1/style.css	G:/burger/himuhimu112002.github.io/Burger1/style.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:14	59305/59305	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-e7a9%22	https://himuhimu112002.github.io/Burger1/css/all.min.css	G:/burger/himuhimu112002.github.io/Burger1/css/all.min.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:14	57873/57873	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-e211%22	https://himuhimu112002.github.io/Burger1/css/fontawesome.min.css	G:/burger/himuhimu112002.github.io/Burger1/css/fontawesome.min.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:14	3921/3921	---M-Z	200	added ('OK')	text/css	etag:W/%2261553d17-f51%22	https://himuhimu112002.github.io/Burger1/media.css	G:/burger/himuhimu112002.github.io/Burger1/media.css	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
10:59:14	5867/5867	---M--	200	added ('OK')	image/png	etag:%2261553d17-16eb%22	https://himuhimu112002.github.io/Burger1/img/logo.png	G:/burger/himuhimu112002.github.io/Burger1/img/logo.png	(from https://himuhimu112002.github.io/Burger1/?fbclid=IwAR3qhADiXCOsxqqTXCqE8_H_fmc6JjKBLy0WUIjRjfsMQ0DMMK9VpNP3H4Q)
